product_id,product_name,brand,author,rating,skin_type,date,text,helpful
3,토리든 다이브인 히알루론산 세럼,토리든,올영에100억씀,5.0,"복합성, 여름쿨톤, 잡티, 주름",2026.02.24,ㅇㄹㅈ 보다 좀 점성이 있는 제형 성분에 히알이 별로없다는 분석을 봤슨,
3,토리든 다이브인 히알루론산 세럼,토리든,KIMJT1211,5.0,"복합성, 웜톤, 잡티, 트러블",2026.03.19,기획 제품으로 저렴할때 쟁이려고 구매했어요! 산뜻하고 막 바르기 좋아요!,
3,토리든 다이브인 히알루론산 세럼,토리든,KIMJT1211,5.0,"복합성, 웜톤, 잡티, 트러블",2026.03.19,기획 제품 할인 많이 해서 잘 구매했어요^^ 꾸준히 잘 사용하는 제품이에요!,
3,토리든 다이브인 히알루론산 세럼,토리든,와큥,5.0,"복합성, 여름쿨톤, 잡티, 다크서클",2026.03.07,한통 다 비우고 또산거에요 저번에 쓰던 수분세럼은 물처럼 주르륵 흘러서 쓰기 불편했는데 이건 약간 점성이 있어서 쓰기 훨씬 편하고요 쓰고 나서 뭐 올라오고 하는것도 없고 자극도 없어소 앞으로도 토리든으로 계속 쓸려구요 토리든 수분라인은 다 좋은것같아용 토너랑 패드랑 크림도 써봤는데 다 좋더라구요 저는 세수하고 나면 피부가 땅기고 건조한 느낌이 자주 있었는데 세안 후에 바로 토리든 토너 바르고 나서 이 세럼까지 발라주니까 촉촉함이 오래 유지돼서 너무 좋아요 토리든 바르고 나서 위에 진정 세럼 바르고 수분크림으로 마무리해주니까 속건조 잡는 데 딱인것 같아오 겉에 기름지진 않은데 속 당김이 없는 느낌이라 딱 수분 채우는 용 세럼 찾고 있다면 이거 강추예요!,
3,토리든 다이브인 히알루론산 세럼,토리든,유쬬,5.0,"트러블성, 여름쿨톤, 잡티, 트러블",2026.02.28,아니 진자진짜 토리든 다시봤어요.. 토리든 세럼 유명한 건 알고 있었는데 사실 말로만 알고 있었거든요. 초초극극민감성 + 여드름성 피부라 아무거나 사용하면 안돼서 새로운 기초 뚫는 족족 8-90%는 실패하는 편이라.. 이번에 속는 셈치고 이 세럼을 사봤단 말이죠오 지인짜 좋습니다 ㅠㅠ 몇 주 사용해보니까 좁쌀도 쏙 들어가고 피부 컨디션이 너무 좋아졌어요. 진짜 왕강추 피부가 쫀득+속건조 좀 잡아주는 느낌 미쵸써요 - 제형 : 흐르는 물타입에 가까운데 아주 약간의 꾸덕?유분감이 섞인 느낌이에요. - 마무리감 : 단독 사용시 사용했는지 안했는지 모를 정도에요. 처음에는 매장에서 얘만 단독으로 테스터 사용해보고 읭? 이랬었는데요. 근데 얘는 토너>세럼>크림으로 기존루틴에 끼워넣어봐야 진가를 발휘합니닷 ㅠㅠ 속건조 싹 잡아줘요. 그리고 기존 루틴보다 더 쫀쫀해진 느낌을 받을수있오요!! -향 : 무향입니당! ... 더 보기,
3,토리든 다이브인 히알루론산 세럼,토리든,lulululalalah,5.0,"건성, 가을웜톤, 잡티, 트러블",2026.02.23,* 건성피부라 피부보습에 항상 신경많이 쓰는데 토리든 히알루론산 세럼은 저분자 히알루론산 세럼이라서 자주 쓰고 있어요! * 저분자 히알루론산 세럼이다 보니 속건조 채워주기 좋고 저는 두세번정도 레이어드해서 발라주니까 좋았습니다! * 기본수분세럼 찾는분들께 추천합니다!,
3,토리든 다이브인 히알루론산 세럼,토리든,올영으로시작하는하루,5.0,"지성, 봄웜톤, 잡티, 블랙헤드",2026.03.04,자극이 없어서 자주 사용해요 건조할때 바르면 덜 건조해져서 좋아요,
3,토리든 다이브인 히알루론산 세럼,토리든,shkim111****,5.0,"건성, 쿨톤, 잡티, 미백",2026.03.07,"피부가 건성이라 항상 고민이 많은데,에센스나 세럼이 중요하다는 생각이 들어서.. 많이 서치하던 중에 찾은 제품이에요. 유튜브에서 피부과 의사쌤들이 많이 추천하던 제품이더라구요. 순하고 보습도 좋고, 성분이 좋다고해서 구입하게 됐어요. 약간 흐르는 콧물정도 점성으로 봄,가을,겨울 아침 저녁으로 쓰기도 좋구요, 한겨울 저녁보습에는 좀 더 점성있는 제품을 쓰면 될것같아요. 흡수도 잘 되서 바르고 나면 수분감도 있고 좋아요. 화장할때 밀림도 없구요. 순해서 그런지 얼굴에 뾰루지나 이상이 생긴적도 없고, 사용후 만족해서 벌써 두번째 구입한 제품입니다. 그리고 이벤트일때 구입해서 리필팩 증정을 받았는데, 앞으로도 세일이나 리필팩 기획 이벤트 자주 했으면 좋겠어요!! 추천드려요!! ... 더 보기",
3,토리든 다이브인 히알루론산 세럼,토리든,버니즈냥,5.0,"지성, 쿨톤, 잡티, 각질",2026.03.19,수분세럼 뭐살까 고민하다가 이전엔 토리든꺼 사봤는데 괜찮은거 같아요! 딱 수분세럼 그이상그이하도 아닙니다! 수분 챙기기는 좋지만 속보습을 채워준다는 느낌은 안받았어요 그래도 무난템입니다,
3,토리든 다이브인 히알루론산 세럼,토리든,rt****,5.0,"복합성, 가을웜톤, 블랙헤드, 모공",2026.03.14,항상쓰고 있는데 무난하게 좋아요! 빌리는 감은 없고 기초전에 항상 쓰고 있습니다 ㅎㅎ,
